num_in_tokens,num_out_tokens,first_token_time,elapsed_time
133,512,0.353,15.841
133,512,0.353,15.841
133,512,0.353,15.841
133,512,0.353,15.841
133,512,0.353,15.841
133,512,0.353,15.841
133,512,0.353,15.841
133,512,0.353,15.841
133,512,0.353,15.841
133,512,0.353,15.841
133,512,0.353,15.841
133,512,0.353,15.841
133,512,0.353,15.841
133,512,0.353,15.841
133,512,0.353,15.841
133,512,0.353,15.842
133,512,0.353,15.842
133,512,0.353,15.842
133,512,0.353,15.842
133,512,0.353,15.842
133,512,0.353,15.842
133,512,0.353,15.842
133,512,0.353,15.842
133,512,0.353,15.842
133,512,0.353,15.842
133,512,0.353,16.547
133,512,0.353,17.376
133,512,0.353,17.765
133,512,0.353,18.155
133,512,0.353,18.897
133,512,0.033,19.315
133,512,0.033,19.71
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.283,29.661
133,512,0.09,30.397
133,512,0.019,31.822
133,512,0.019,32.669
133,512,0.019,33.455
133,512,0.019,34.619
133,512,0.019,35.457
133,512,0.019,36.279
133,512,0.351,43.44
133,512,0.351,43.44
133,512,0.351,43.44
133,512,0.351,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.24,43.44
133,512,0.019,44.211
133,512,0.019,46.006
133,512,0.019,47.64
133,512,0.019,48.852
133,512,0.019,50.322
133,512,0.019,51.355
133,512,0.019,52.644
133,512,0.352,57.234
133,512,0.352,57.234
133,512,0.352,57.234
133,512,0.352,57.234
133,512,0.352,57.234
133,512,0.352,57.234
133,512,0.352,57.234
133,512,0.207,57.234
133,512,0.207,57.234
133,512,0.207,57.234
133,512,0.207,57.234
133,512,0.207,57.234
133,512,0.207,57.234
133,512,0.207,57.234
133,512,0.207,57.234
133,512,0.207,57.234
133,512,0.207,57.234
133,512,0.207,57.234
133,512,0.207,57.234
133,512,0.207,57.234
133,512,0.207,57.234
133,512,0.207,57.234
133,512,0.207,57.234
133,512,0.207,57.234
133,512,0.207,57.234
133,512,0.019,58.047
133,512,0.019,60.213
133,512,0.019,62.625
133,512,0.019,64.119
133,512,0.019,66.056
133,512,0.019,67.568
133,512,0.019,68.925
133,512,0.346,71.272
133,512,0.346,71.272
133,512,0.346,71.272
133,512,0.346,71.272
133,512,0.346,71.272
133,512,0.346,71.272
133,512,0.346,71.272
133,512,0.346,71.272
133,512,0.346,71.272
133,512,0.188,71.272
133,512,0.188,71.272
133,512,0.188,71.272
133,512,0.188,71.272
133,512,0.188,71.272
133,512,0.188,71.272
133,512,0.188,71.272
133,512,0.188,71.272
133,512,0.188,71.272
133,512,0.188,71.272
133,512,0.188,71.272
133,512,0.188,71.272
133,512,0.188,71.272
133,512,0.188,71.272
133,512,0.188,71.272
133,512,0.188,71.272
133,512,0.019,71.823
133,512,0.019,73.872
133,512,0.019,75.86
133,512,0.019,77.257
133,512,0.019,78.924
133,512,0.019,79.996
133,512,0.262,81.118
133,512,0.262,81.118
133,512,0.262,81.118
133,512,0.262,81.118
133,512,0.262,81.118
