num_in_tokens,num_out_tokens,first_token_time,elapsed_time
133,512,0.324,10.918
136,512,0.324,10.918
92,512,0.324,10.918
128,512,0.324,10.918
128,512,0.324,10.918
105,512,0.324,10.918
127,512,0.324,10.918
104,512,0.324,10.918
126,512,0.324,10.918
107,512,0.324,10.918
176,512,0.324,10.918
90,512,0.324,10.918
110,512,0.324,10.918
79,512,0.324,10.918
65,512,0.324,10.918
77,512,0.324,10.918
80,512,0.324,10.918
187,512,0.324,10.918
96,512,0.324,10.918
116,512,0.324,10.918
180,512,0.324,10.918
135,512,0.324,10.918
100,512,0.324,10.918
44,512,0.324,10.918
56,512,0.324,10.918
136,512,0.324,10.918
93,512,0.324,10.918
58,512,0.324,10.918
66,512,0.324,10.918
101,512,0.324,10.918
127,512,0.324,10.918
119,512,0.324,10.918
291,512,0.352,19.398
157,512,0.352,19.398
76,512,0.352,19.398
88,512,0.352,19.398
91,512,0.352,19.398
128,512,0.352,19.398
179,512,0.352,19.398
110,512,0.352,19.398
193,512,0.352,19.398
167,512,0.352,19.398
122,512,0.352,19.398
183,512,0.352,19.398
107,512,0.352,19.398
47,512,0.352,19.398
181,512,0.352,19.398
80,512,0.352,19.398
88,512,0.352,19.398
116,512,0.352,19.398
106,512,0.352,19.398
151,512,0.352,19.398
90,512,0.352,19.398
51,512,0.352,19.398
175,512,0.352,19.398
57,512,0.352,19.398
105,512,0.352,19.398
93,512,0.352,19.398
126,512,0.352,19.398
73,512,0.352,19.398
116,512,0.352,19.398
104,512,0.352,19.398
113,512,0.352,19.398
170,512,0.352,19.398
148,512,0.502,28.502
94,512,0.502,28.502
125,512,0.502,28.502
255,512,0.502,28.502
357,512,0.502,28.502
170,512,0.502,28.502
140,512,0.502,28.502
128,512,0.502,28.502
264,512,0.502,28.502
163,512,0.502,28.502
220,512,0.502,28.502
89,512,0.502,28.502
156,512,0.502,28.502
124,512,0.502,28.502
350,512,0.502,28.502
160,512,0.502,28.502
134,512,0.502,28.502
296,512,0.502,28.502
87,512,0.502,28.502
46,512,0.502,28.502
159,512,0.502,28.502
59,512,0.502,28.502
149,512,0.502,28.502
283,512,0.502,28.502
223,512,0.502,28.502
121,512,0.502,28.502
132,512,0.502,28.502
122,512,0.502,28.502
159,512,0.502,28.502
129,512,0.502,28.502
329,512,0.502,28.502
209,512,0.502,28.502
176,512,0.545,37.858
119,512,0.545,37.858
82,512,0.545,37.858
175,512,0.545,37.858
146,512,0.545,37.858
123,512,0.545,37.858
105,512,0.545,37.858
164,512,0.545,37.858
131,512,0.545,37.858
306,512,0.545,37.858
132,512,0.545,37.858
238,512,0.545,37.858
141,512,0.545,37.858
334,512,0.545,37.858
206,512,0.545,37.858
167,512,0.545,37.858
176,512,0.545,37.858
195,512,0.545,37.858
93,512,0.545,37.858
364,512,0.545,37.858
183,512,0.545,37.858
205,512,0.545,37.858
174,512,0.545,37.858
183,512,0.545,37.858
238,512,0.545,37.858
106,512,0.545,37.858
146,512,0.545,37.858
244,512,0.545,37.858
302,512,0.545,37.858
158,512,0.545,37.858
276,512,0.545,37.858
272,512,0.545,37.858
129,512,0.501,47.183
430,512,0.501,47.184
260,512,0.501,47.184
75,512,0.501,47.184
161,512,0.501,47.184
169,512,0.501,47.184
181,512,0.501,47.184
107,512,0.501,47.184
152,512,0.501,47.184
159,512,0.501,47.184
92,512,0.501,47.184
108,512,0.501,47.184
119,512,0.501,47.184
239,512,0.501,47.184
177,512,0.501,47.184
171,512,0.501,47.184
166,512,0.501,47.184
134,512,0.501,47.184
132,512,0.501,47.184
189,512,0.501,47.184
247,512,0.501,47.184
206,512,0.501,47.184
100,512,0.501,47.184
159,512,0.501,47.184
246,512,0.501,47.184
301,512,0.501,47.184
144,512,0.501,47.184
77,512,0.501,47.184
134,512,0.501,47.184
118,512,0.501,47.184
133,512,0.501,47.184
342,512,0.501,47.184
240,512,0.052,52.89
120,512,0.052,52.89
92,512,0.052,52.89
115,512,0.052,52.89
