model,task,start_time,window_name,elapsed_time,gpu0_energy,num_in_tokens,num_out_tokens,first_token_time,finished_time,mns,max_tokens,n_samples,energy_per_token,time_per_token_ms,token_per_second
deepseek-coder-6.7b-instruct,humaneval,1753102768.405466,batch_0_mns128_max-toks128_n256,10.676114320755005,2499.2700000032783,34560,32768,1.3098688125610352,10.675522327423096,128,128,256,0.0762716674805688,0.32579108665231615,3069.281483460424
deepseek-coder-6.7b-instruct,humaneval,1753102802.3290524,batch_0_mns64_max-toks128_n256,13.941150188446043,3252.407000005245,34560,32768,0.793001651763916,13.940682411193848,64,128,256,0.09925558471695695,0.4254358645994216,2350.451688495331
deepseek-coder-6.7b-instruct,humaneval,1753102839.131405,batch_0_mns32_max-toks128_n256,20.52271771430969,4821.249000005424,34560,32768,0.5156352519989014,20.522284507751465,32,128,256,0.14713284301774365,0.6262904207687825,1596.669625151651
deepseek-coder-6.7b-instruct,humaneval,1753102882.511224,batch_0_mns128_max-toks256_n256,23.32038640975952,5466.391999997199,34560,65536,1.3195440769195557,23.32001161575317,128,256,256,0.08341052246089475,0.3558351381798274,2810.245029755311
deepseek-coder-6.7b-instruct,humaneval,1753102928.865589,batch_0_mns64_max-toks256_n256,27.22467064857483,6500.755999997258,34560,65536,0.7914297580718994,27.224180221557617,64,256,256,0.09919366455073941,0.4154080234002322,2407.2283865601407
deepseek-coder-6.7b-instruct,humaneval,1753102979.1681292,batch_0_mns32_max-toks256_n256,40.87825560569763,9800.85799999535,34560,65536,0.5170226097106934,40.87794661521912,32,256,256,0.14954922485344468,0.6237479647097645,1603.199525736748
deepseek-coder-6.7b-instruct,humaneval,1753103043.0535586,batch_0_mns128_max-toks512_n256,57.84032583236694,13892.806999996305,34560,131072,1.3019685745239258,57.83991169929504,128,512,256,0.10599370574948352,0.44128350600658445,2266.100650606177
deepseek-coder-6.7b-instruct,humaneval,1753103123.9112074,batch_0_mns64_max-toks512_n256,59.0864679813385,14229.160000003874,34560,131072,0.7996149063110352,59.085915327072144,64,512,256,0.10855987548831081,0.45078975927026477,2218.308260385389
deepseek-coder-6.7b-instruct,humaneval,1753103206.058421,batch_0_mns32_max-toks512_n256,86.52344107627869,21155.2480000034,34560,131072,0.5339162349700928,86.5229434967041,32,512,256,0.16140173339846345,0.660117671941407,1514.8727139093728
deepseek-coder-6.7b-instruct,humaneval,1753103315.2754254,batch_0_mns128_max-toks128_n128,5.8673083782196045,1304.1569999977946,17280,16384,1.2597613334655762,5.8669188022613525,128,128,128,0.07959942626939664,0.3580883058020845,2792.42183022458
deepseek-coder-6.7b-instruct,humaneval,1753103343.957035,batch_0_mns64_max-toks128_n128,7.058405160903931,1664.4930000007153,17280,16384,0.7250533103942871,7.058122634887695,64,128,128,0.1015925903320749,0.4307936178520322,2321.204241823629
deepseek-coder-6.7b-instruct,humaneval,1753103373.876791,batch_0_mns32_max-toks128_n128,10.373620748519896,2432.5939999967813,17280,16384,0.4537992477416992,10.373212337493896,32,128,128,0.14847375488261605,0.6331306358333677,1579.3906869342281
deepseek-coder-6.7b-instruct,humaneval,1753103407.0281286,batch_0_mns128_max-toks256_n128,11.515619277954102,2711.267000004649,17280,32768,1.251136302947998,11.515291690826416,128,256,128,0.08274130249037626,0.3514188138069585,2845.52651568919
deepseek-coder-6.7b-instruct,humaneval,1753103441.6725593,batch_0_mns64_max-toks256_n128,13.746521949768066,3226.780000001192,17280,32768,0.7597987651824951,13.746115922927856,64,256,128,0.09847351074222388,0.41949816659325734,2383.7302351634385
deepseek-coder-6.7b-instruct,humaneval,1753103478.14249,batch_0_mns32_max-toks256_n128,20.10490894317627,4796.979999996722,17280,32768,0.4605073928833008,20.104519844055176,32,256,128,0.14639221191396246,0.6135412550065666,1629.8507042540803
deepseek-coder-6.7b-instruct,humaneval,1753103520.9126914,batch_0_mns128_max-toks512_n128,29.373868227005005,6986.177999995649,17280,65536,1.2195844650268557,29.373480796813965,128,512,128,0.10660061645501173,0.4482037475099787,2231.0987267161895
deepseek-coder-6.7b-instruct,humaneval,1753103572.9354565,batch_0_mns64_max-toks512_n128,29.472733736038208,7035.311999998987,17280,65536,0.746260404586792,29.472282886505127,64,512,128,0.10735034179685954,0.44971134775551036,2223.614564802481
deepseek-coder-6.7b-instruct,humaneval,1753103625.104252,batch_0_mns32_max-toks512_n128,43.22230315208435,10437.473999999464,17280,65536,0.4275996685028076,43.22202658653259,32,512,128,0.15926321411131994,0.6595157865376677,1516.25423035421
deepseek-coder-6.7b-instruct,humaneval,1753103690.9354002,batch_0_mns128_max-toks128_n100,4.700706243515015,1107.652000002563,13500,12800,1.039865016937256,4.700241804122925,128,128,100,0.08653531250020023,0.3672063909471035,2722.9950856126316
deepseek-coder-6.7b-instruct,humaneval,1753103718.2783487,batch_0_mns64_max-toks128_n100,6.238239288330078,1455.375,13500,12800,0.7243790626525879,6.23796010017395,64,128,100,0.113701171875,0.48734063282608986,2051.8610153260806
deepseek-coder-6.7b-instruct,humaneval,1753103747.1394074,batch_0_mns32_max-toks128_n100,9.570509433746338,2197.9519999995828,13500,12800,0.4066731929779053,9.570228338241575,32,128,100,0.1717149999999674,0.7476740889251231,1337.4418664555342
deepseek-coder-6.7b-instruct,humaneval,1753103779.3539426,batch_0_mns128_max-toks256_n100,9.006095886230469,2109.2880000025034,13500,25600,1.0539984703063965,9.005712985992432,128,256,100,0.08239406250009779,0.35178566351532936,2842.519147407719
deepseek-coder-6.7b-instruct,humaneval,1753103811.023038,batch_0_mns64_max-toks256_n100,12.37300992012024,2866.3180000036955,13500,25600,0.7275252342224121,12.37262725830078,64,256,100,0.11196554687514436,0.4833057522773742,2069.019597112812
deepseek-coder-6.7b-instruct,humaneval,1753103846.0734544,batch_0_mns32_max-toks256_n100,18.62843942642212,4386.913000002503,13500,25600,0.4303386211395263,18.62805724143982,32,256,100,0.17136378906259778,0.7276584859937429,1374.2428667261086
deepseek-coder-6.7b-instruct,humaneval,1753103887.3282764,batch_0_mns128_max-toks512_n100,23.47607660293579,5611.923000000417,13500,51200,1.030287742614746,23.47574210166931,128,512,100,0.10960787109375815,0.45851058792322874,2180.9436417325887
