num_in_tokens,num_out_tokens,first_token_time,end_time
134,256,1751901194.0871577,1751901208.6435525
131,256,1751901194.0871577,1751901208.6435883
93,256,1751901194.0871577,1751901208.6436083
125,256,1751901194.0871577,1751901208.6436267
129,256,1751901194.0871577,1751901208.6436489
107,256,1751901194.0871577,1751901208.6436715
130,256,1751901194.0871577,1751901208.6436887
106,256,1751901194.0871577,1751901208.643705
129,256,1751901194.0871577,1751901208.6437185
109,256,1751901194.0871577,1751901208.6437316
175,256,1751901194.0871577,1751901208.6437464
91,256,1751901194.0871577,1751901208.6437638
112,256,1751901194.0871577,1751901208.643779
80,256,1751901194.0871577,1751901208.6437922
65,256,1751901194.0871577,1751901208.643805
76,256,1751901194.0871577,1751901208.6438222
79,256,1751901194.0871577,1751901208.643839
193,256,1751901194.0871577,1751901208.643854
98,256,1751901194.0871577,1751901208.6438644
117,256,1751901194.0871577,1751901208.643879
181,256,1751901194.0871577,1751901208.6438904
134,256,1751901194.0871577,1751901208.6439066
101,256,1751901194.0871577,1751901208.6439185
41,256,1751901194.0871577,1751901208.6439323
56,256,1751901194.0871577,1751901208.6439443
136,256,1751901194.0871577,1751901208.6439576
97,256,1751901194.0871577,1751901208.6439703
54,256,1751901194.0871577,1751901208.6439848
70,256,1751901194.0871577,1751901208.643997
101,256,1751901194.0871577,1751901208.644009
127,256,1751901194.0871577,1751901208.6440208
119,256,1751901194.0871577,1751901208.6440332
299,256,1751901194.0871577,1751901208.6440504
157,256,1751901194.0871577,1751901208.6440644
76,256,1751901194.0871577,1751901208.64409
88,256,1751901194.0871577,1751901208.6441028
92,256,1751901194.0871577,1751901208.6441152
128,256,1751901194.0871577,1751901208.64413
182,256,1751901194.0871577,1751901208.64414
110,256,1751901194.0871577,1751901208.6441534
194,256,1751901194.0871577,1751901208.644165
169,256,1751901194.0871577,1751901208.6441772
122,256,1751901194.0871577,1751901208.6441886
184,256,1751901194.0871577,1751901208.6442025
107,256,1751901194.0871577,1751901208.644212
47,256,1751901194.0871577,1751901208.644225
182,256,1751901194.0871577,1751901208.6442342
80,256,1751901194.0871577,1751901208.644246
87,256,1751901194.0871577,1751901208.6442568
116,256,1751901194.0871577,1751901208.644268
105,256,1751901194.0871577,1751901208.644279
151,256,1751901194.0871577,1751901208.6442916
87,256,1751901194.0871577,1751901208.6443028
51,256,1751901194.0871577,1751901208.6443145
170,256,1751901194.0871577,1751901208.6443243
57,256,1751901194.0871577,1751901208.6443374
106,256,1751901194.0871577,1751901208.6443489
97,256,1751901194.0871577,1751901208.6443608
126,256,1751901194.0871577,1751901208.6443696
73,256,1751901194.0871577,1751901208.6443825
117,256,1751901194.0871577,1751901208.6443915
107,256,1751901194.0871577,1751901208.6444023
118,256,1751901194.0871577,1751901208.6444118
170,256,1751901194.0871577,1751901208.644423
147,256,1751901194.0871577,1751901208.644432
98,256,1751901194.0871577,1751901208.6444438
126,256,1751901194.0871577,1751901208.6444542
257,256,1751901194.0871577,1751901208.6444657
355,256,1751901194.0871577,1751901208.6444752
170,256,1751901194.0871577,1751901208.6444864
142,256,1751901194.0871577,1751901208.6444974
128,256,1751901194.0871577,1751901208.6445103
260,256,1751901194.0871577,1751901208.6445205
164,256,1751901194.0871577,1751901208.644531
222,256,1751901194.0871577,1751901208.6445398
90,256,1751901194.0871577,1751901208.644552
156,256,1751901194.0871577,1751901208.644561
124,256,1751901194.0871577,1751901208.6445727
355,256,1751901194.0871577,1751901208.644582
159,256,1751901194.0871577,1751901208.6445932
134,256,1751901194.0871577,1751901208.6446016
305,256,1751901194.0871577,1751901208.6446111
86,256,1751901211.777779,1751901226.7710507
48,256,1751901211.777779,1751901226.771073
